date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Centro-Oeste,0,0,0,0
2020-02-26,Centro-Oeste,0,0,0,0
2020-02-27,Centro-Oeste,0,0,0,0
2020-02-28,Centro-Oeste,0,0,0,0
2020-02-29,Centro-Oeste,0,0,0,0
2020-03-01,Centro-Oeste,0,0,0,0
2020-03-02,Centro-Oeste,0,0,0,0
2020-03-03,Centro-Oeste,0,0,0,0
2020-03-04,Centro-Oeste,0,0,0,0
2020-03-05,Centro-Oeste,0,0,0,0
2020-03-06,Centro-Oeste,0,0,0,0
2020-03-07,Centro-Oeste,202010,1,0,1
2020-03-08,Centro-Oeste,202011,1,0,0
2020-03-09,Centro-Oeste,202011,1,0,0
2020-03-10,Centro-Oeste,202011,1,0,0
2020-03-11,Centro-Oeste,202011,2,0,1
2020-03-12,Centro-Oeste,404022,5,0,3
2020-03-13,Centro-Oeste,404022,5,0,0
2020-03-14,Centro-Oeste,606033,14,0,9
2020-03-15,Centro-Oeste,606036,20,0,6
2020-03-16,Centro-Oeste,606036,32,0,12
2020-03-17,Centro-Oeste,606036,35,0,3
2020-03-18,Centro-Oeste,606036,53,0,18
2020-03-19,Centro-Oeste,606036,66,0,13
2020-03-20,Centro-Oeste,808048,118,0,52
2020-03-21,Centro-Oeste,808048,144,0,26
2020-03-22,Centro-Oeste,808052,161,0,17
2020-03-23,Centro-Oeste,808052,188,0,27
2020-03-24,Centro-Oeste,808052,221,0,33
2020-03-25,Centro-Oeste,808052,263,0,42
2020-03-26,Centro-Oeste,808052,275,1,12
2020-03-27,Centro-Oeste,808052,329,1,54
2020-03-28,Centro-Oeste,808052,358,1,29
2020-03-29,Centro-Oeste,808056,401,2,43
2020-03-30,Centro-Oeste,808056,434,3,33
2020-03-31,Centro-Oeste,808056,471,5,37
2020-04-01,Centro-Oeste,808056,522,6,51
2020-04-02,Centro-Oeste,808056,567,7,45
2020-04-03,Centro-Oeste,808056,611,10,44
2020-04-04,Centro-Oeste,808056,681,11,70
2020-04-05,Centro-Oeste,808060,708,12,27
2020-04-06,Centro-Oeste,808060,746,17,38
2020-04-07,Centro-Oeste,808060,794,20,48
2020-04-08,Centro-Oeste,808060,843,22,49
2020-04-09,Centro-Oeste,808060,903,24,60
2020-04-10,Centro-Oeste,808060,956,26,53
2020-04-11,Centro-Oeste,808060,1022,29,66
2020-04-12,Centro-Oeste,808064,1071,33,49
2020-04-13,Centro-Oeste,808064,1121,38,50
2020-04-14,Centro-Oeste,808064,1188,40,67
2020-04-15,Centro-Oeste,808064,1264,40,76
2020-04-16,Centro-Oeste,808064,1332,46,68
