date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Nordeste,0,0,0,0
2020-02-26,Nordeste,0,0,0,0
2020-02-27,Nordeste,0,0,0,0
2020-02-28,Nordeste,0,0,0,0
2020-02-29,Nordeste,0,0,0,0
2020-03-01,Nordeste,0,0,0,0
2020-03-02,Nordeste,0,0,0,0
2020-03-03,Nordeste,0,0,0,0
2020-03-04,Nordeste,0,0,0,0
2020-03-05,Nordeste,0,0,0,0
2020-03-06,Nordeste,202010,1,0,1
2020-03-07,Nordeste,202010,2,0,1
2020-03-08,Nordeste,404022,3,0,1
2020-03-09,Nordeste,404022,3,0,0
2020-03-10,Nordeste,404022,3,0,0
2020-03-11,Nordeste,404022,4,0,1
2020-03-12,Nordeste,1010055,7,0,3
2020-03-13,Nordeste,1010055,11,0,4
2020-03-14,Nordeste,1212066,17,0,6
2020-03-15,Nordeste,1212072,20,0,3
2020-03-16,Nordeste,1414084,34,0,14
2020-03-17,Nordeste,1414084,49,0,15
2020-03-18,Nordeste,1414084,74,0,25
2020-03-19,Nordeste,1616096,98,0,24
2020-03-20,Nordeste,1818108,158,0,60
2020-03-21,Nordeste,1818108,191,0,33
2020-03-22,Nordeste,1818117,256,0,65
2020-03-23,Nordeste,1818117,316,0,60
2020-03-24,Nordeste,1818117,364,0,48
2020-03-25,Nordeste,1818117,410,1,46
2020-03-26,Nordeste,1818117,464,6,54
2020-03-27,Nordeste,1818117,551,8,87
2020-03-28,Nordeste,1818117,655,11,104
2020-03-29,Nordeste,1818126,740,16,85
2020-03-30,Nordeste,1818126,812,19,72
2020-03-31,Nordeste,1818126,911,23,99
2020-04-01,Nordeste,1818126,1028,28,117
2020-04-02,Nordeste,1818126,1212,44,184
2020-04-03,Nordeste,1818126,1451,52,239
2020-04-04,Nordeste,1818126,1680,64,229
2020-04-05,Nordeste,1818135,2059,87,379
2020-04-06,Nordeste,1818135,2247,100,188
2020-04-07,Nordeste,1818135,2627,122,380
2020-04-08,Nordeste,1818135,3012,164,385
2020-04-09,Nordeste,1818135,3318,184,306
2020-04-10,Nordeste,1818135,3678,208,360
2020-04-11,Nordeste,1818135,4048,231,370
2020-04-12,Nordeste,1818144,4419,253,371
2020-04-13,Nordeste,1818144,4963,307,544
2020-04-14,Nordeste,1818144,5504,342,541
2020-04-15,Nordeste,1818144,6141,393,637
2020-04-16,Nordeste,1818144,6761,435,620
2020-04-17,Nordeste,1818144,7869,493,1108
2020-04-18,Nordeste,1818144,8804,553,935
2020-04-19,Nordeste,1818153,9577,595,773
2020-04-20,Nordeste,1818153,10268,645,691
2020-04-21,Nordeste,1818153,11178,704,910
2020-04-22,Nordeste,1818153,12447,766,1269
2020-04-23,Nordeste,1818153,13957,861,1510
2020-04-24,Nordeste,1818153,15287,950,1330
2020-04-25,Nordeste,1818153,16823,1040,1536
2020-04-26,Nordeste,1818162,18290,1146,1467
2020-04-27,Nordeste,1818162,19777,1242,1487
2020-04-28,Nordeste,1818162,21372,1366,1595
2020-04-29,Nordeste,1818162,23210,1466,1838
2020-04-30,Nordeste,1818162,25431,1575,2221
2020-05-01,Nordeste,1818162,27087,1709,1656
2020-05-02,Nordeste,1818162,29084,1863,1997
2020-05-03,Nordeste,1818171,30410,1953,1326
2020-05-04,Nordeste,1818171,34249,2086,3839
2020-05-05,Nordeste,1818171,36452,2276,2203
2020-05-06,Nordeste,1818171,39029,2441,2577
2020-05-07,Nordeste,1818171,43031,2595,4002
2020-05-08,Nordeste,1818171,46957,2837,3926
2020-05-09,Nordeste,1818171,50233,3009,3276
2020-05-10,Nordeste,1818180,53301,3189,3068
2020-05-11,Nordeste,1818180,55845,3369,2544
2020-05-12,Nordeste,1818180,59405,3609,3560
2020-05-13,Nordeste,1818180,62800,3859,3395
2020-05-14,Nordeste,1818180,67877,4035,5077
2020-05-15,Nordeste,1818180,73678,4346,5801
2020-05-16,Nordeste,1818180,79136,4553,5458
2020-05-17,Nordeste,1818189,82319,4708,3183
2020-05-18,Nordeste,1818189,87842,5036,5523
2020-05-19,Nordeste,1818189,95500,5330,7658
2020-05-20,Nordeste,1818189,101839,5578,6339
2020-05-21,Nordeste,1818189,107690,6012,5851
2020-05-22,Nordeste,1818189,116620,6322,8930
2020-05-23,Nordeste,1818189,122357,6555,5737
2020-05-24,Nordeste,1818198,127714,6771,5357
2020-05-25,Nordeste,1818198,132371,7093,4657
2020-05-26,Nordeste,1818198,137894,7409,5523
2020-05-27,Nordeste,1818198,143817,7730,5923
2020-05-28,Nordeste,1818198,151289,8032,7472
2020-05-29,Nordeste,1818198,159426,8406,8137
2020-05-30,Nordeste,1818198,174737,8674,15311
2020-05-31,Nordeste,1818207,180204,8912,5467
2020-06-01,Nordeste,1818207,186431,9279,6227
2020-06-02,Nordeste,1818207,198745,9793,12314
2020-06-03,Nordeste,1818207,207359,10121,8614
2020-06-04,Nordeste,1818207,219103,10591,11744
2020-06-05,Nordeste,1818207,230225,10903,11122
2020-06-06,Nordeste,1818207,238429,11157,8204
2020-06-07,Nordeste,1818216,245115,11361,6686
2020-06-08,Nordeste,1818216,250980,11786,5865
2020-06-09,Nordeste,1818216,262281,12230,11301
2020-06-10,Nordeste,1818216,274955,12625,12674
2020-06-11,Nordeste,1818216,285764,13080,10809
2020-06-12,Nordeste,1818216,293661,13428,7897
2020-06-13,Nordeste,1818216,301278,13674,7617
2020-06-14,Nordeste,1818225,307096,13946,5818
2020-06-15,Nordeste,1818225,316934,14325,9838
2020-06-16,Nordeste,1818225,327832,14721,10898
2020-06-17,Nordeste,1818225,340087,15074,12255
2020-06-18,Nordeste,1818225,349385,15388,9298
2020-06-19,Nordeste,1818225,365409,15703,16024
2020-06-20,Nordeste,1818225,374714,15941,9305
2020-06-21,Nordeste,1818234,380176,16213,5462
2020-06-22,Nordeste,1818234,386353,16516,6177
2020-06-23,Nordeste,1818234,399190,16941,12837
2020-06-24,Nordeste,1818234,410158,17318,10968
2020-06-25,Nordeste,1818234,423269,17679,13111
2020-06-26,Nordeste,1818234,434716,18039,11447
2020-06-27,Nordeste,1818234,452053,18381,17337
2020-06-28,Nordeste,1818243,465656,18661,13603
2020-06-29,Nordeste,1818243,470901,18988,5245
2020-06-30,Nordeste,1818243,485452,19339,14551
2020-07-01,Nordeste,1818243,501359,19684,15907
2020-07-02,Nordeste,1818243,514351,20104,12992
2020-07-03,Nordeste,1818243,528439,20501,14088
2020-07-04,Nordeste,1818243,541509,20788,13070
2020-07-05,Nordeste,1818252,548324,21021,6815
2020-07-06,Nordeste,1818252,555415,21332,7091
2020-07-07,Nordeste,1818252,569299,21677,13884
2020-07-08,Nordeste,1818252,583715,22096,14416
2020-07-09,Nordeste,1818252,597565,22453,13850
2020-07-10,Nordeste,1818252,611573,22805,14008
2020-07-11,Nordeste,1818252,623441,23083,11868
2020-07-12,Nordeste,1818261,630987,23329,7546
2020-07-13,Nordeste,1818261,637092,23715,6105
2020-07-14,Nordeste,1818261,649355,23999,12263
2020-07-15,Nordeste,1818261,661834,24381,12479
2020-07-16,Nordeste,1818261,674512,24710,12678
2020-07-17,Nordeste,1818261,686956,24972,12444
2020-07-18,Nordeste,1818261,694499,25221,7543
2020-07-19,Nordeste,1818270,701717,25427,7218
2020-07-20,Nordeste,1818270,706793,25777,5076
2020-07-21,Nordeste,1818270,720544,26076,13751
2020-07-22,Nordeste,1818270,738897,26354,18353
2020-07-23,Nordeste,1818270,755544,26715,16647
2020-07-24,Nordeste,1818270,772290,26974,16746
2020-07-25,Nordeste,1818270,784418,27202,12128
2020-07-26,Nordeste,1818279,790768,27425,6350
2020-07-27,Nordeste,1818279,797830,27634,7062
2020-07-28,Nordeste,1818279,813164,27930,15334
2020-07-29,Nordeste,1818279,829948,28188,16784
2020-07-30,Nordeste,1818279,845641,28436,15693
2020-07-31,Nordeste,1818279,861872,28776,16231
2020-08-01,Nordeste,1818279,872782,28970,10910
2020-08-02,Nordeste,1818288,878863,29160,6081
2020-08-03,Nordeste,1818288,883881,29422,5018
2020-08-04,Nordeste,1818288,897632,29687,13751
2020-08-05,Nordeste,1818288,912589,29946,14957
2020-08-06,Nordeste,1818288,926209,30227,13620
2020-08-07,Nordeste,1818288,939820,30416,13611
2020-08-08,Nordeste,1818288,949712,30608,9892
2020-08-09,Nordeste,1818297,955367,30823,5655
2020-08-10,Nordeste,1818297,960360,31032,4993
2020-08-11,Nordeste,1818297,973793,31274,13433
2020-08-12,Nordeste,1818297,985759,31487,11966
2020-08-13,Nordeste,1818297,998780,31738,13021
2020-08-14,Nordeste,1818297,1010008,31940,11228
2020-08-15,Nordeste,1818297,1019116,32128,9108
2020-08-16,Nordeste,1818306,1024706,32317,5590
2020-08-17,Nordeste,1818306,1029162,32542,4456
2020-08-18,Nordeste,1818306,1041078,32776,11916
2020-08-19,Nordeste,1818306,1052523,32985,11445
2020-08-20,Nordeste,1818306,1062730,33174,10207
2020-08-21,Nordeste,1818306,1069350,33391,6620
2020-08-22,Nordeste,1818306,1079216,33578,9866
2020-08-23,Nordeste,1818315,1084503,33747,5287
2020-08-24,Nordeste,1818315,1089053,33969,4550
2020-08-25,Nordeste,1818315,1099212,34168,10159
2020-08-26,Nordeste,1818315,1111140,34355,11928
2020-08-27,Nordeste,1818315,1120875,34530,9735
2020-08-28,Nordeste,1818315,1131141,34701,10266
2020-08-29,Nordeste,1818315,1139333,34859,8192
2020-08-30,Nordeste,1818324,1142906,34984,3573
2020-08-31,Nordeste,1818324,1146007,35155,3101
2020-09-01,Nordeste,1818324,1156832,35334,10825
2020-09-02,Nordeste,1818324,1166560,35505,9728
2020-09-03,Nordeste,1818324,1177989,35639,11429
2020-09-04,Nordeste,1818324,1186196,35777,8207
2020-09-05,Nordeste,1818324,1191702,35885,5506
2020-09-06,Nordeste,1818333,1194310,36003,2608
2020-09-07,Nordeste,1818333,1196165,36102,1855
2020-09-08,Nordeste,1818333,1199879,36224,3714
2020-09-09,Nordeste,1818333,1207907,36399,8028
2020-09-10,Nordeste,1818333,1215196,36560,7289
2020-09-11,Nordeste,1818333,1222621,36713,7425
2020-09-12,Nordeste,1818333,1229045,36841,6424
2020-09-13,Nordeste,1818342,1231367,36954,2322
2020-09-14,Nordeste,1818342,1234512,37077,3145
2020-09-15,Nordeste,1818342,1242188,37240,7676
2020-09-16,Nordeste,1818342,1249558,37361,7370
2020-09-17,Nordeste,1818342,1256270,37490,6712
2020-09-18,Nordeste,1818342,1263966,37624,7696
2020-09-19,Nordeste,1818342,1270058,37747,6092
2020-09-20,Nordeste,1818351,1273549,37854,3491
2020-09-21,Nordeste,1818351,1276557,37980,3008
2020-09-22,Nordeste,1818351,1283154,38114,6597
2020-09-23,Nordeste,1818351,1289920,38273,6766
2020-09-24,Nordeste,1818351,1295178,38416,5258
2020-09-25,Nordeste,1818351,1300826,38545,5648
2020-09-26,Nordeste,1818351,1306243,38670,5417
2020-09-27,Nordeste,1818360,1308777,38775,2534
2020-09-28,Nordeste,1818360,1311408,38911,2631
2020-09-29,Nordeste,1818360,1317813,39057,6405
2020-09-30,Nordeste,1818360,1324820,39207,7007
2020-10-01,Nordeste,1818360,1330940,39378,6120
2020-10-02,Nordeste,1818360,1336137,39492,5197
2020-10-03,Nordeste,1818360,1339861,39593,3724
2020-10-04,Nordeste,1818369,1341990,39678,2129
2020-10-05,Nordeste,1818369,1355780,39776,13790
2020-10-06,Nordeste,1818369,1363165,39897,7385
2020-10-07,Nordeste,1818369,1370109,40013,6944
2020-10-08,Nordeste,1818369,1375547,40113,5438
2020-10-09,Nordeste,1818369,1380592,40194,5045
2020-10-10,Nordeste,1818369,1385450,40277,4858
2020-10-11,Nordeste,1818378,1388469,40354,3019
2020-10-12,Nordeste,1818378,1390106,40427,1637
2020-10-13,Nordeste,1818378,1393141,40516,3035
2020-10-14,Nordeste,1818378,1400257,40664,7116
2020-10-15,Nordeste,1818378,1408716,40879,8459
2020-10-16,Nordeste,1818378,1414378,40958,5662
2020-10-17,Nordeste,1818378,1418007,41030,3629
2020-10-18,Nordeste,1818387,1422279,41103,4272
2020-10-19,Nordeste,1818387,1425832,41176,3553
2020-10-20,Nordeste,1818387,1431343,41265,5511
2020-10-21,Nordeste,1818387,1436873,41358,5530
2020-10-22,Nordeste,1818387,1441326,41421,4453
2020-10-23,Nordeste,1818387,1447224,41499,5898
2020-10-24,Nordeste,1818387,1451629,41569,4405
2020-10-25,Nordeste,1818396,1453669,41641,2040
2020-10-26,Nordeste,1818396,1456714,41749,3045
2020-10-27,Nordeste,1818396,1462649,41852,5935
2020-10-28,Nordeste,1818396,1468181,41939,5532
2020-10-29,Nordeste,1818396,1472706,42023,4525
2020-10-30,Nordeste,1818396,1477006,42109,4300
2020-10-31,Nordeste,1818396,1479390,42190,2384
2020-11-01,Nordeste,1818405,1481290,42269,1900
2020-11-02,Nordeste,1818405,1482812,42332,1522
2020-11-03,Nordeste,1818405,1485095,42409,2283
2020-11-04,Nordeste,1818405,1489234,42519,4139
2020-11-05,Nordeste,1818405,1496079,42604,6845
2020-11-06,Nordeste,1818405,1501497,42684,5418
2020-11-07,Nordeste,1818405,1505708,42743,4211
2020-11-08,Nordeste,1818414,1508181,42802,2473
2020-11-09,Nordeste,1818414,1511312,42871,3131
2020-11-10,Nordeste,1818414,1516009,42951,4697
2020-11-11,Nordeste,1818414,1521150,43024,5141
2020-11-12,Nordeste,1818414,1528190,43145,7040
2020-11-13,Nordeste,1818414,1533737,43211,5547
2020-11-14,Nordeste,1818414,1537847,43267,4110
2020-11-15,Nordeste,1818423,1541599,43327,3752
2020-11-16,Nordeste,1818423,1545260,43397,3661
2020-11-17,Nordeste,1818423,1549364,43478,4104
2020-11-18,Nordeste,1818423,1554980,43565,5616
2020-11-19,Nordeste,1818423,1562077,43656,7097
2020-11-20,Nordeste,1818423,1568302,43728,6225
2020-11-21,Nordeste,1818423,1573263,43791,4961
2020-11-22,Nordeste,1818432,1576686,43836,3423
2020-11-23,Nordeste,1818432,1581472,43925,4786
2020-11-24,Nordeste,1818432,1587506,44003,6034
2020-11-25,Nordeste,1818432,1595693,44085,8187
