date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Norte,0,0,0,0
2020-02-26,Norte,0,0,0,0
2020-02-27,Norte,0,0,0,0
2020-02-28,Norte,0,0,0,0
2020-02-29,Norte,0,0,0,0
2020-03-01,Norte,0,0,0,0
2020-03-02,Norte,0,0,0,0
2020-03-03,Norte,0,0,0,0
2020-03-04,Norte,0,0,0,0
2020-03-05,Norte,0,0,0,0
2020-03-06,Norte,0,0,0,0
2020-03-07,Norte,0,0,0,0
2020-03-08,Norte,0,0,0,0
2020-03-09,Norte,0,0,0,0
2020-03-10,Norte,0,0,0,0
2020-03-11,Norte,0,0,0,0
2020-03-12,Norte,0,0,0,0
2020-03-13,Norte,202011,2,0,2
2020-03-14,Norte,202011,2,0,0
2020-03-15,Norte,202012,2,0,0
2020-03-16,Norte,202012,2,0,0
2020-03-17,Norte,404024,5,0,3
2020-03-18,Norte,808048,7,0,2
2020-03-19,Norte,808048,9,0,2
2020-03-20,Norte,1212072,19,0,10
2020-03-21,Norte,1414084,32,0,13
2020-03-22,Norte,1414091,52,0,20
2020-03-23,Norte,1414091,67,0,15
2020-03-24,Norte,1414091,94,1,27
2020-03-25,Norte,1414091,106,1,12
2020-03-26,Norte,1414091,129,1,23
2020-03-27,Norte,1414091,152,1,23
2020-03-28,Norte,1414091,189,1,37
2020-03-29,Norte,1414098,234,1,45
2020-03-30,Norte,1414098,261,3,27
2020-03-31,Norte,1414098,298,4,37
2020-04-01,Norte,1414098,342,5,44
2020-04-02,Norte,1414098,387,5,45
2020-04-03,Norte,1414098,460,10,73
2020-04-04,Norte,1414098,537,16,77
2020-04-05,Norte,1414105,656,19,119
2020-04-06,Norte,1414105,823,29,167
2020-04-07,Norte,1414105,982,34,159
2020-04-08,Norte,1414105,1235,42,253
2020-04-09,Norte,1414105,1354,55,119
2020-04-10,Norte,1414105,1564,68,210
2020-04-11,Norte,1414105,1689,76,125
2020-04-12,Norte,1414112,1930,88,241
2020-04-13,Norte,1414112,2100,99,170
2020-04-14,Norte,1414112,2485,126,385
2020-04-15,Norte,1414112,2728,144,243
2020-04-16,Norte,1414112,3040,172,312
2020-04-17,Norte,1414112,3289,199,249
2020-04-18,Norte,1414112,3463,218,174
2020-04-19,Norte,1414119,3746,241,283
2020-04-20,Norte,1414119,4154,250,408
2020-04-21,Norte,1414119,4496,262,342
2020-04-22,Norte,1414119,4937,281,441
2020-04-23,Norte,1414119,5534,323,597
2020-04-24,Norte,1414119,6340,381,806
2020-04-25,Norte,1414119,7114,426,774
2020-04-26,Norte,1414126,7841,468,727
2020-04-27,Norte,1414126,8187,498,346
2020-04-28,Norte,1414126,8845,544,658
2020-04-29,Norte,1414126,9753,607,908
2020-04-30,Norte,1414126,10922,728,1169
2020-05-01,Norte,1414126,11985,824,1063
2020-05-02,Norte,1414126,13097,905,1112
2020-05-03,Norte,1414133,14248,970,1151
2020-05-04,Norte,1414133,15678,1049,1430
2020-05-05,Norte,1414133,17694,1157,2016
2020-05-06,Norte,1414133,20054,1307,2360
2020-05-07,Norte,1414133,21859,1451,1805
2020-05-08,Norte,1414133,23663,1616,1804
2020-05-09,Norte,1414133,25924,1751,2261
2020-05-10,Norte,1414140,27346,1865,1422
