date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Sudeste,202009,1,0,1
2020-02-26,Sudeste,202009,1,0,0
2020-02-27,Sudeste,202009,1,0,0
2020-02-28,Sudeste,202009,2,0,1
2020-02-29,Sudeste,202009,2,0,0
2020-03-01,Sudeste,202010,2,0,0
2020-03-02,Sudeste,202010,2,0,0
2020-03-03,Sudeste,202010,2,0,0
2020-03-04,Sudeste,202010,3,0,1
2020-03-05,Sudeste,606030,8,0,5
2020-03-06,Sudeste,606030,13,0,5
2020-03-07,Sudeste,606030,16,0,3
2020-03-08,Sudeste,808044,21,0,5
2020-03-09,Sudeste,808044,21,0,0
2020-03-10,Sudeste,808044,24,0,3
2020-03-11,Sudeste,808044,35,0,11
2020-03-12,Sudeste,808044,65,0,30
2020-03-13,Sudeste,808044,65,0,0
2020-03-14,Sudeste,808044,88,0,23
2020-03-15,Sudeste,808048,97,0,9
2020-03-16,Sudeste,808048,191,0,94
2020-03-17,Sudeste,808048,211,1,20
2020-03-18,Sudeste,808048,333,3,122
2020-03-19,Sudeste,808048,394,7,61
2020-03-20,Sudeste,808048,516,11,122
2020-03-21,Sudeste,808048,596,18,80
2020-03-22,Sudeste,808052,926,25,330
2020-03-23,Sudeste,808052,1139,34,213
2020-03-24,Sudeste,808052,1285,46,146
2020-03-25,Sudeste,808052,1405,56,120
2020-03-26,Sudeste,808052,1674,67,269
2020-03-27,Sudeste,808052,1959,78,285
2020-03-28,Sudeste,808052,2230,97,271
2020-03-29,Sudeste,808056,2354,115,124
2020-03-30,Sudeste,808056,2520,132,166
2020-03-31,Sudeste,808056,3419,161,899
2020-04-01,Sudeste,808056,4247,195,828
2020-04-02,Sudeste,808056,5007,235,760
2020-04-03,Sudeste,808056,5672,277,665
2020-04-04,Sudeste,808056,6308,330,636
2020-04-05,Sudeste,808060,6706,351,398
2020-04-06,Sudeste,808060,7061,390,355
2020-04-07,Sudeste,808060,8156,477,1095
2020-04-08,Sudeste,808060,9533,554,1377
2020-04-09,Sudeste,808060,10651,640,1118
2020-04-10,Sudeste,808060,11727,712,1076
2020-04-11,Sudeste,808060,12159,741,432
2020-04-12,Sudeste,808064,12846,792,687
2020-04-13,Sudeste,808064,13394,830,548
2020-04-14,Sudeste,808064,14222,964,828
2020-04-15,Sudeste,808064,16423,1094,2201
2020-04-16,Sudeste,808064,17405,1215,982
2020-04-17,Sudeste,808064,19163,1332,1758
2020-04-18,Sudeste,808064,20613,1447,1450
2020-04-19,Sudeste,808068,21291,1490,678
2020-04-20,Sudeste,808068,21880,1534,589
2020-04-21,Sudeste,808068,23234,1632,1354
2020-04-22,Sudeste,808068,24100,1708,866
2020-04-23,Sudeste,808068,25673,1969,1573
2020-04-24,Sudeste,808068,27192,2183,1519
2020-04-25,Sudeste,808068,30024,2392,2832
2020-04-26,Sudeste,808072,31193,2463,1169
2020-04-27,Sudeste,808072,33170,2627,1977
2020-04-28,Sudeste,808072,36358,2935,3188
2020-04-29,Sudeste,808072,39323,3205,2965
2020-04-30,Sudeste,808072,42666,3404,3343
2020-05-01,Sudeste,808072,45388,3621,2722
2020-05-02,Sudeste,808072,46847,3749,1459
2020-05-03,Sudeste,808076,48237,3850,1390
2020-05-04,Sudeste,808076,49606,3932,1369
2020-05-05,Sudeste,808076,52436,4201,2830
2020-05-06,Sudeste,808076,57467,4493,5031
2020-05-07,Sudeste,808076,60842,4863,3375
2020-05-08,Sudeste,808076,64756,5195,3914
2020-05-09,Sudeste,808076,68875,5551,4119
2020-05-10,Sudeste,808080,70342,5723,1467
2020-05-11,Sudeste,808080,72209,5830,1867
2020-05-12,Sudeste,808080,74727,6216,2518
2020-05-13,Sudeste,808080,78959,6536,4232
2020-05-14,Sudeste,808080,83516,6950,4557
2020-05-15,Sudeste,808080,88759,7345,5243
2020-05-16,Sudeste,808080,93853,7723,5094
2020-05-17,Sudeste,808084,95938,7938,2085
2020-05-18,Sudeste,808084,101583,8138,5645
2020-05-19,Sudeste,808084,106470,8718,4887
2020-05-20,Sudeste,808084,114012,9123,7542
2020-05-21,Sudeste,808084,120302,9524,6290
2020-05-22,Sudeste,808084,125975,10028,5673
2020-05-23,Sudeste,808084,131347,10584,5372
2020-05-24,Sudeste,808088,136748,10829,5401
2020-05-25,Sudeste,808088,140250,11020,3502
2020-05-26,Sudeste,808088,144446,11505,4196
2020-05-27,Sudeste,808088,151376,12068,6930
2020-05-28,Sudeste,808088,161640,12629,10264
2020-05-29,Sudeste,808088,171644,13171,10004
2020-05-30,Sudeste,808088,182629,13655,10985
2020-05-31,Sudeste,808092,187240,13834,4611
2020-06-01,Sudeste,808092,190781,14035,3541
2020-06-02,Sudeste,808092,201117,14633,10336
2020-06-03,Sudeste,808092,210854,15290,9737
2020-06-04,Sudeste,808092,220060,15948,9206
2020-06-05,Sudeste,808092,229735,16439,9675
2020-06-06,Sudeste,808092,238971,16871,9236
2020-06-07,Sudeste,808096,246151,17060,7180
2020-06-08,Sudeste,808096,250634,17220,4483
2020-06-09,Sudeste,808096,261183,17753,10549
2020-06-10,Sudeste,808096,271581,18346,10398
2020-06-11,Sudeste,808096,281171,18905,9590
2020-06-12,Sudeste,808096,291292,19230,10121
2020-06-13,Sudeste,808096,298336,19655,7044
2020-06-14,Sudeste,808100,305624,19896,7288
2020-06-15,Sudeste,808100,311786,20063,6162
2020-06-16,Sudeste,808100,324682,20733,12896
2020-06-17,Sudeste,808100,332334,21375,7652
2020-06-18,Sudeste,808100,336623,22051,4289
2020-06-19,Sudeste,808100,364320,22694,27697
2020-06-20,Sudeste,808100,372873,23251,8553
2020-06-21,Sudeste,808104,377825,23452,4952
2020-06-22,Sudeste,808104,384610,23642,6785
2020-06-23,Sudeste,808104,397068,24366,12458
2020-06-24,Sudeste,808104,412141,24881,15073
2020-06-25,Sudeste,808104,427659,25505,15518
2020-06-26,Sudeste,808104,447548,25893,19889
2020-06-27,Sudeste,808104,457002,26441,9454
2020-06-28,Sudeste,808108,469459,26622,12457
2020-06-29,Sudeste,808108,475989,26806,6530
2020-06-30,Sudeste,808108,485885,27455,9896
2020-07-01,Sudeste,808108,501618,27927,15733
2020-07-02,Sudeste,808108,519951,28469,18333
2020-07-03,Sudeste,808108,534513,29062,14562
2020-07-04,Sudeste,808108,541740,29584,7227
2020-07-05,Sudeste,808112,553147,29749,11407
2020-07-06,Sudeste,808112,559122,29898,5975
2020-07-07,Sudeste,808112,574394,30517,15272
2020-07-08,Sudeste,808112,590570,31025,16176
2020-07-09,Sudeste,808112,604912,31607,14342
2020-07-10,Sudeste,808112,620000,32193,15088
2020-07-11,Sudeste,808112,632771,32653,12771
2020-07-12,Sudeste,808116,640405,32849,7634
2020-07-13,Sudeste,808116,647354,33036,6949
2020-07-14,Sudeste,808116,663285,33718,15931
2020-07-15,Sudeste,808116,675987,34245,12702
2020-07-16,Sudeste,808116,689209,34857,13222
2020-07-17,Sudeste,808116,699379,35374,10170
