date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Sul,0,0,0,0
2020-02-26,Sul,0,0,0,0
2020-02-27,Sul,0,0,0,0
2020-02-28,Sul,0,0,0,0
2020-02-29,Sul,0,0,0,0
2020-03-01,Sul,0,0,0,0
2020-03-02,Sul,0,0,0,0
2020-03-03,Sul,0,0,0,0
2020-03-04,Sul,0,0,0,0
2020-03-05,Sul,0,0,0,0
2020-03-06,Sul,0,0,0,0
2020-03-07,Sul,0,0,0,0
2020-03-08,Sul,0,0,0,0
2020-03-09,Sul,0,0,0,0
2020-03-10,Sul,202011,1,0,1
2020-03-11,Sul,202011,2,0,1
2020-03-12,Sul,606033,12,0,10
2020-03-13,Sul,606033,13,0,1
2020-03-14,Sul,606033,15,0,2
2020-03-15,Sul,606036,16,0,1
2020-03-16,Sul,606036,21,0,5
2020-03-17,Sul,606036,27,0,6
2020-03-18,Sul,606036,47,0,20
2020-03-19,Sul,606036,75,0,28
2020-03-20,Sul,606036,119,0,44
2020-03-21,Sul,606036,169,0,50
2020-03-22,Sul,606039,199,0,30
2020-03-23,Sul,606039,242,0,43
2020-03-24,Sul,606039,291,0,49
2020-03-25,Sul,606039,381,1,90
2020-03-26,Sul,606039,445,2,64
2020-03-27,Sul,606039,485,5,40
2020-03-28,Sul,606039,521,5,36
2020-03-29,Sul,606042,579,5,58
2020-03-30,Sul,606042,633,9,54
2020-03-31,Sul,606042,725,9,92
2020-04-01,Sul,606042,792,10,67
2020-04-02,Sul,606042,925,14,133
2020-04-03,Sul,606042,1018,16,93
2020-04-04,Sul,606042,1175,24,157
2020-04-05,Sul,606045,1292,27,117
2020-04-06,Sul,606045,1384,33,92
2020-04-07,Sul,606045,1523,38,139
2020-04-08,Sul,606045,1632,44,109
2020-04-09,Sul,606045,1950,56,318
2020-04-10,Sul,606045,2012,59,62
2020-04-11,Sul,606045,2073,64,61
2020-04-12,Sul,606048,2190,71,117
2020-04-13,Sul,606048,2279,76,89
2020-04-14,Sul,606048,2376,85,97
2020-04-15,Sul,606048,2462,89,86
2020-04-16,Sul,606048,2563,94,101
2020-04-17,Sul,606048,2680,99,117
2020-04-18,Sul,606048,2789,105,109
2020-04-19,Sul,606051,2896,113,107
2020-04-20,Sul,606051,2989,115,93
2020-04-21,Sul,606051,3048,119,59
2020-04-22,Sul,606051,3162,127,114
2020-04-23,Sul,606051,3305,133,143
2020-04-24,Sul,606051,3438,143,133
2020-04-25,Sul,606051,3556,148,118
2020-04-26,Sul,606054,3716,156,160
2020-04-27,Sul,606054,3933,166,217
2020-04-28,Sul,606054,4631,172,698
2020-04-29,Sul,606054,4869,181,238
2020-04-30,Sul,606054,5346,194,477
