date,country,epidemiological_week,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,9,1,0,1,0
2020-02-26,Brazil,9,1,0,0,0
2020-02-27,Brazil,9,1,0,0,0
2020-02-28,Brazil,9,2,0,1,0
2020-02-29,Brazil,9,2,0,0,0
2020-03-01,Brazil,10,2,0,0,0
2020-03-02,Brazil,10,2,0,0,0
2020-03-03,Brazil,10,2,0,0,0
2020-03-04,Brazil,10,3,0,1,0
2020-03-05,Brazil,10,8,0,5,0
2020-03-06,Brazil,10,14,0,6,0
2020-03-07,Brazil,10,19,0,5,0
2020-03-08,Brazil,11,25,0,6,0
2020-03-09,Brazil,11,25,0,0,0
2020-03-10,Brazil,11,29,0,4,0
2020-03-11,Brazil,11,43,0,14,0
2020-03-12,Brazil,11,89,0,46,0
2020-03-13,Brazil,11,96,0,7,0
2020-03-14,Brazil,11,136,0,40,0
2020-03-15,Brazil,12,155,0,19,0
2020-03-16,Brazil,12,280,0,125,0
2020-03-17,Brazil,12,327,1,47,1
2020-03-18,Brazil,12,514,3,187,2
2020-03-19,Brazil,12,642,7,128,4
2020-03-20,Brazil,12,930,11,288,4
2020-03-21,Brazil,12,1132,18,202,7
2020-03-22,Brazil,13,1594,25,462,7
2020-03-23,Brazil,13,1952,34,358,9
2020-03-24,Brazil,13,2255,47,303,13
2020-03-25,Brazil,13,2565,59,310,12
2020-03-26,Brazil,13,2987,77,422,18
2020-03-27,Brazil,13,3476,93,489,16
2020-03-28,Brazil,13,3953,115,477,22
2020-03-29,Brazil,14,4308,139,355,24
2020-03-30,Brazil,14,4660,166,352,27
2020-03-31,Brazil,14,5824,202,1164,36
2020-04-01,Brazil,14,6931,244,1107,42
2020-04-02,Brazil,14,8098,305,1167,61
2020-04-03,Brazil,14,9212,365,1114,60
2020-04-04,Brazil,14,10381,445,1169,80
2020-04-05,Brazil,15,11421,496,1040,51
2020-04-06,Brazil,15,12261,569,840,73
2020-04-07,Brazil,15,14082,691,1821,122
