date,last_available_date,region,state,epidemiological_week,accumulated_cases,accumulated_deaths,new_cases,new_deaths
2020-02-25,2020-02-25,Sudeste,SP,9,1,0,1,0
2020-02-26,2020-02-26,Sudeste,SP,9,1,0,0,0
2020-02-27,2020-02-27,Sudeste,SP,9,1,0,0,0
2020-02-28,2020-02-28,Sudeste,SP,9,2,0,1,0
2020-02-29,2020-02-29,Sudeste,SP,9,2,0,0,0
2020-03-01,2020-03-01,Sudeste,SP,10,2,0,0,0
2020-03-02,2020-03-02,Sudeste,SP,10,2,0,0,0
2020-03-03,2020-03-03,Sudeste,SP,10,2,0,0,0
2020-03-04,2020-03-04,Sudeste,SP,10,3,0,1,0
2020-03-05,2020-03-05,Sudeste,ES,10,1,0,1,0
2020-03-05,2020-03-05,Sudeste,RJ,10,1,0,1,0
2020-03-05,2020-03-05,Sudeste,SP,10,6,0,3,0
2020-03-06,2020-03-06,Nordeste,BA,10,1,0,1,0
2020-03-06,2020-03-06,Sudeste,ES,10,1,0,0,0
2020-03-06,2020-03-06,Sudeste,RJ,10,2,0,1,0
2020-03-06,2020-03-06,Sudeste,SP,10,10,0,4,0
2020-03-07,2020-03-07,Nordeste,BA,10,2,0,1,0
2020-03-07,2020-03-07,Centro-Oeste,DF,10,1,0,1,0
2020-03-07,2020-03-07,Sudeste,ES,10,1,0,0,0
2020-03-07,2020-03-06,Sudeste,RJ,10,2,0,0,0
2020-03-07,2020-03-07,Sudeste,SP,10,13,0,3,0
2020-03-08,2020-03-08,Nordeste,AL,11,1,0,1,0
2020-03-08,2020-03-07,Nordeste,BA,11,2,0,0,0
2020-03-08,2020-03-08,Centro-Oeste,DF,11,1,0,0,0
2020-03-08,2020-03-08,Sudeste,ES,11,1,0,0,0
2020-03-08,2020-03-08,Sudeste,MG,11,1,0,1,0
2020-03-08,2020-03-08,Sudeste,RJ,11,3,0,1,0
2020-03-08,2020-03-08,Sudeste,SP,11,16,0,3,0
2020-03-09,2020-03-09,Nordeste,AL,11,1,0,0,0
2020-03-09,2020-03-09,Nordeste,BA,11,2,0,0,0
2020-03-09,2020-03-09,Centro-Oeste,DF,11,1,0,0,0
2020-03-09,2020-03-09,Sudeste,ES,11,1,0,0,0
2020-03-09,2020-03-09,Sudeste,MG,11,1,0,0,0
2020-03-09,2020-03-08,Sudeste,RJ,11,3,0,0,0
2020-03-09,2020-03-09,Sudeste,SP,11,16,0,0,0
2020-03-10,2020-03-10,Nordeste,AL,11,1,0,0,0
2020-03-10,2020-03-10,Nordeste,BA,11,2,0,0,0
2020-03-10,2020-03-10,Centro-Oeste,DF,11,1,0,0,0
2020-03-10,2020-03-10,Sudeste,ES,11,1,0,0,0
2020-03-10,2020-03-10,Sudeste,MG,11,1,0,0,0
2020-03-10,2020-03-08,Sudeste,RJ,11,3,0,0,0
2020-03-10,2020-03-10,Sul,RS,11,1,0,1,0
2020-03-10,2020-03-10,Sudeste,SP,11,19,0,3,0
2020-03-11,2020-03-10,Nordeste,AL,11,1,0,0,0
2020-03-11,2020-03-11,Nordeste,BA,11,3,0,1,0
2020-03-11,2020-03-11,Centro-Oeste,DF,11,2,0,1,0
2020-03-11,2020-03-11,Sudeste,ES,11,1,0,0,0
2020-03-11,2020-03-11,Sudeste,MG,11,1,0,0,0
2020-03-11,2020-03-08,Sudeste,RJ,11,3,0,0,0
2020-03-11,2020-03-11,Sul,RS,11,2,0,1,0
2020-03-11,2020-03-11,Sudeste,SP,11,30,0,11,0
2020-03-12,2020-03-12,Nordeste,AL,11,1,0,0,0
2020-03-12,2020-03-12,Nordeste,BA,11,3,0,0,0
2020-03-12,2020-03-12,Centro-Oeste,DF,11,2,0,0,0
2020-03-12,2020-03-12,Sudeste,ES,11,2,0,1,0
2020-03-12,2020-03-12,Centro-Oeste,GO,11,3,0,3,0
2020-03-12,2020-03-12,Sudeste,MG,11,2,0,1,0
2020-03-12,2020-03-12,Nordeste,PB,11,0,0,0,0
2020-03-12,2020-03-12,Nordeste,PE,11,2,0,2,0
2020-03-12,2020-03-12,Sul,PR,11,6,0,6,0
2020-03-12,2020-03-12,Sudeste,RJ,11,15,0,12,0
2020-03-12,2020-03-12,Nordeste,RN,11,1,0,1,0
2020-03-12,2020-03-12,Sul,RS,11,4,0,2,0
2020-03-12,2020-03-12,Sul,SC,11,2,0,2,0
2020-03-12,2020-03-12,Sudeste,SP,11,46,0,16,0
2020-03-13,2020-03-13,Nordeste,AL,11,1,0,0,0
2020-03-13,2020-03-13,Norte,AM,11,2,0,2,0
2020-03-13,2020-03-13,Nordeste,BA,11,7,0,4,0
2020-03-13,2020-03-13,Centro-Oeste,DF,11,2,0,0,0
2020-03-13,2020-03-13,Sudeste,ES,11,2,0,0,0
2020-03-13,2020-03-13,Centro-Oeste,GO,11,3,0,0,0
2020-03-13,2020-03-13,Sudeste,MG,11,2,0,0,0
2020-03-13,2020-03-13,Nordeste,PB,11,0,0,0,0
2020-03-13,2020-03-13,Nordeste,PE,11,2,0,0,0
2020-03-13,2020-03-13,Sul,PR,11,6,0,0,0
2020-03-13,2020-03-12,Sudeste,RJ,11,15,0,0,0
2020-03-13,2020-03-13,Nordeste,RN,11,1,0,0,0
2020-03-13,2020-03-13,Sul,RS,11,4,0,0,0
2020-03-13,2020-03-13,Sul,SC,11,3,0,1,0
2020-03-13,2020-03-12,Sudeste,SP,11,46,0,0,0
2020-03-14,2020-03-13,Nordeste,AL,11,1,0,0,0
2020-03-14,2020-03-13,Norte,AM,11,2,0,0,0
2020-03-14,2020-03-13,Nordeste,BA,11,7,0,0,0
2020-03-14,2020-03-14,Centro-Oeste,DF,11,8,0,6,0
2020-03-14,2020-03-14,Sudeste,ES,11,4,0,2,0
2020-03-14,2020-03-14,Centro-Oeste,GO,11,4,0,1,0
2020-03-14,2020-03-14,Sudeste,MG,11,4,0,2,0
2020-03-14,2020-03-14,Centro-Oeste,MS,11,2,0,2,0
2020-03-14,2020-03-14,Nordeste,PB,11,0,0,0,0
2020-03-14,2020-03-14,Nordeste,PE,11,7,0,5,0
2020-03-14,2020-03-13,Sul,PR,11,6,0,0,0
2020-03-14,2020-03-12,Sudeste,RJ,11,15,0,0,0
2020-03-14,2020-03-13,Nordeste,RN,11,1,0,0,0
2020-03-14,2020-03-13,Sul,RS,11,4,0,0,0
2020-03-14,2020-03-14,Sul,SC,11,5,0,2,0
2020-03-14,2020-03-14,Nordeste,SE,11,1,0,1,0
2020-03-14,2020-03-14,Sudeste,SP,11,65,0,19,0
2020-03-15,2020-03-13,Nordeste,AL,12,1,0,0,0
2020-03-15,2020-03-13,Norte,AM,12,2,0,0,0
2020-03-15,2020-03-15,Nordeste,BA,12,9,0,2,0
2020-03-15,2020-03-15,Centro-Oeste,DF,12,14,0,6,0
2020-03-15,2020-03-15,Sudeste,ES,12,4,0,0,0
2020-03-15,2020-03-15,Centro-Oeste,GO,12,4,0,0,0
2020-03-15,2020-03-14,Sudeste,MG,12,4,0,0,0
2020-03-15,2020-03-15,Centro-Oeste,MS,12,2,0,0,0
2020-03-15,2020-03-15,Nordeste,PB,12,0,0,0,0
2020-03-15,2020-03-15,Nordeste,PE,12,8,0,1,0
2020-03-15,2020-03-13,Sul,PR,12,6,0,0,0
2020-03-15,2020-03-15,Sudeste,RJ,12,24,0,9,0
2020-03-15,2020-03-13,Nordeste,RN,12,1,0,0,0
2020-03-15,2020-03-13,Sul,RS,12,4,0,0,0
2020-03-15,2020-03-15,Sul,SC,12,6,0,1,0
2020-03-15,2020-03-14,Nordeste,SE,12,1,0,0,0
2020-03-15,2020-03-14,Sudeste,SP,12,65,0,0,0
2020-03-16,2020-03-16,Nordeste,AL,12,1,0,0,0
2020-03-16,2020-03-13,Norte,AM,12,2,0,0,0
2020-03-16,2020-03-16,Nordeste,BA,12,10,0,1,0
2020-03-16,2020-03-16,Nordeste,CE,12,9,0,9,0
2020-03-16,2020-03-16,Centro-Oeste,DF,12,19,0,5,0
2020-03-16,2020-03-16,Sudeste,ES,12,8,0,4,0
2020-03-16,2020-03-16,Centro-Oeste,GO,12,9,0,5,0
2020-03-16,2020-03-16,Sudeste,MG,12,6,0,2,0
2020-03-16,2020-03-16,Centro-Oeste,MS,12,4,0,2,0
2020-03-16,2020-03-16,Nordeste,PB,12,0,0,0,0
2020-03-16,2020-03-16,Nordeste,PE,12,8,0,0,0
2020-03-16,2020-03-16,Sul,PR,12,6,0,0,0
2020-03-16,2020-03-16,Sudeste,RJ,12,25,0,1,0
2020-03-16,2020-03-16,Nordeste,RN,12,1,0,0,0
2020-03-16,2020-03-16,Sul,RS,12,8,0,4,0
2020-03-16,2020-03-16,Sul,SC,12,7,0,1,0
2020-03-16,2020-03-16,Nordeste,SE,12,5,0,4,0
2020-03-16,2020-03-16,Sudeste,SP,12,152,0,87,0
2020-03-17,2020-03-17,Norte,AC,12,3,0,3,0
2020-03-17,2020-03-17,Nordeste,AL,12,1,0,0,0
2020-03-17,2020-03-13,Norte,AM,12,2,0,0,0
2020-03-17,2020-03-17,Nordeste,BA,12,14,0,4,0
2020-03-17,2020-03-17,Nordeste,CE,12,10,0,1,0
2020-03-17,2020-03-16,Centro-Oeste,DF,12,19,0,0,0
2020-03-17,2020-03-17,Sudeste,ES,12,8,0,0,0
2020-03-17,2020-03-17,Centro-Oeste,GO,12,10,0,1,0
2020-03-17,2020-03-17,Sudeste,MG,12,14,0,8,0
2020-03-17,2020-03-17,Centro-Oeste,MS,12,6,0,2,0
2020-03-17,2020-03-17,Nordeste,PB,12,0,0,0,0
2020-03-17,2020-03-17,Nordeste,PE,12,18,0,10,0
2020-03-17,2020-03-17,Sul,PR,12,12,0,6,0
2020-03-17,2020-03-16,Sudeste,RJ,12,25,0,0,0
2020-03-17,2020-03-16,Nordeste,RN,12,1,0,0,0
2020-03-17,2020-03-16,Sul,RS,12,8,0,0,0
2020-03-17,2020-03-17,Sul,SC,12,7,0,0,0
2020-03-17,2020-03-16,Nordeste,SE,12,5,0,0,0
2020-03-17,2020-03-17,Sudeste,SP,12,164,1,12,1
2020-03-18,2020-03-18,Norte,AC,12,3,0,0,0
2020-03-18,2020-03-18,Nordeste,AL,12,1,0,0,0
2020-03-18,2020-03-18,Norte,AM,12,2,0,0,0
2020-03-18,2020-03-18,Nordeste,BA,12,27,0,13,0
2020-03-18,2020-03-18,Nordeste,CE,12,19,0,9,0
2020-03-18,2020-03-18,Centro-Oeste,DF,12,34,0,15,0
2020-03-18,2020-03-18,Sudeste,ES,12,11,0,3,0
2020-03-18,2020-03-18,Centro-Oeste,GO,12,12,0,2,0
2020-03-18,2020-03-18,Sudeste,MG,12,19,0,5,0
2020-03-18,2020-03-18,Centro-Oeste,MS,12,7,0,1,0
2020-03-18,2020-03-18,Norte,PA,12,1,0,1,0
2020-03-18,2020-03-18,Nordeste,PB,12,1,0,1,0
2020-03-18,2020-03-18,Nordeste,PE,12,19,0,1,0
2020-03-18,2020-03-18,Sul,PR,12,14,0,2,0
2020-03-18,2020-03-18,Sudeste,RJ,12,63,0,38,0
2020-03-18,2020-03-18,Nordeste,RN,12,1,0,0,0
2020-03-18,2020-03-18,Sul,RS,12,19,0,11,0
2020-03-18,2020-03-18,Sul,SC,12,14,0,7,0
2020-03-18,2020-03-18,Nordeste,SE,12,6,0,1,0
2020-03-18,2020-03-18,Sudeste,SP,12,240,3,76,2
2020-03-18,2020-03-18,Norte,TO,12,1,0,1,0
2020-03-19,2020-03-19,Norte,AC,12,4,0,1,0
2020-03-19,2020-03-19,Nordeste,AL,12,4,0,3,0
2020-03-19,2020-03-19,Norte,AM,12,3,0,1,0
2020-03-19,2020-03-19,Nordeste,BA,12,31,0,4,0
2020-03-19,2020-03-19,Nordeste,CE,12,24,0,5,0
2020-03-19,2020-03-19,Centro-Oeste,DF,12,42,0,8,0
2020-03-19,2020-03-19,Sudeste,ES,12,13,0,2,0
2020-03-19,2020-03-19,Centro-Oeste,GO,12,15,0,3,0
2020-03-19,2020-03-19,Sudeste,MG,12,29,0,10,0
2020-03-19,2020-03-19,Centro-Oeste,MS,12,9,0,2,0
2020-03-19,2020-03-19,Norte,PA,12,1,0,0,0
2020-03-19,2020-03-19,Nordeste,PB,12,1,0,0,0
2020-03-19,2020-03-19,Nordeste,PE,12,28,0,9,0
2020-03-19,2020-03-19,Nordeste,PI,12,3,0,3,0
2020-03-19,2020-03-19,Sul,PR,12,23,0,9,0
2020-03-19,2020-03-19,Sudeste,RJ,12,66,2,3,2
2020-03-19,2020-03-18,Nordeste,RN,12,1,0,0,0
2020-03-19,2020-03-19,Sul,RS,12,31,0,12,0
2020-03-19,2020-03-19,Sul,SC,12,21,0,7,0
2020-03-19,2020-03-18,Nordeste,SE,12,6,0,0,0
2020-03-19,2020-03-19,Sudeste,SP,12,286,5,46,2
2020-03-19,2020-03-19,Norte,TO,12,1,0,0,0
2020-03-20,2020-03-20,Norte,AC,12,7,0,3,0
2020-03-20,2020-03-20,Nordeste,AL,12,6,0,2,0
2020-03-20,2020-03-20,Norte,AM,12,7,0,4,0
2020-03-20,2020-03-20,Norte,AP,12,1,0,1,0
